temperature,humidity,motion_detected,current_time,hvac_target_temperature,light_state,fan_state
20.6,70,0,20,0,1,0
29.3,90,0,21,22,0,0
26.0,67,1,21,22,1,1
24.0,38,1,4,0,1,1
17.3,25,0,10,24,1,0
17.3,46,0,11,24,0,0
15.9,72,0,21,24,1,0
28.0,67,1,8,22,0,1
24.0,26,0,20,0,1,0
25.6,78,0,12,22,1,0
15.3,88,1,21,24,0,0
29.5,30,1,19,22,0,0
27.5,34,0,2,22,1,0
18.2,83,0,12,0,0,0
17.7,22,0,21,24,0,0
17.8,88,0,10,24,1,0
19.6,42,0,10,0,0,1
22.9,72,0,20,0,0,0
21.5,56,0,19,0,1,0
19.4,28,0,20,0,0,0
24.2,34,0,6,0,0,0
17.1,22,0,16,24,1,0
19.4,89,0,15,0,0,0
20.5,36,1,13,0,1,1
21.8,45,0,0,0,1,0
26.8,40,0,10,22,1,1
18.0,40,0,12,0,0,0
22.7,30,0,0,0,0,0
23.9,57,0,1,0,1,0
15.7,54,1,8,24,1,1
24.1,33,0,12,0,1,0
17.6,33,1,4,24,1,1
16.0,29,0,8,24,0,0
29.2,31,0,12,22,0,0
29.5,57,1,4,22,1,1
27.1,53,0,14,22,1,1
19.6,60,0,6,0,0,0
16.5,29,0,13,24,1,0
25.3,36,0,15,22,0,0
21.6,36,1,5,0,0,0
16.8,86,1,1,24,0,0
22.4,81,1,15,0,1,1
15.5,20,0,18,24,1,0
28.6,31,0,4,22,1,0
18.9,23,0,3,0,1,0
24.9,61,1,13,0,0,0
19.7,32,0,5,0,1,0
22.8,23,0,7,0,1,1
23.2,88,1,23,0,1,1
17.8,38,0,2,24,1,0
29.5,21,0,3,22,0,0
26.6,31,1,0,22,1,1
29.1,25,0,1,22,0,1
28.4,27,0,12,22,0,0
24.0,70,0,8,0,0,0
28.8,30,0,11,22,0,0
16.3,82,1,9,24,0,0
17.9,76,0,9,24,0,0
15.7,31,0,17,24,0,0
19.9,21,0,11,0,0,0
20.8,27,1,21,0,0,0
19.1,30,0,15,0,1,0
27.4,72,0,22,22,1,1
20.4,29,0,5,0,1,0
19.2,27,0,23,0,1,0
23.1,55,0,23,0,0,1
17.1,33,0,20,24,0,1
27.0,73,0,23,22,0,0
16.1,40,0,9,24,1,0
